"","typeI","typeII","shape","mean.change","percent"
"1",0.0534,0.85132,2,-0.1632268,-0.5
"2",0.05268,0.84894,2,-0.14690412,-0.45
"3",0.05194,0.84082,2,-0.13058144,-0.4
"4",0.051,0.8353,2,-0.11425876,-0.35
"5",0.05098,0.83346,2,-0.09793608,-0.3
"6",0.05266,0.82566,2,-0.0816134,-0.25
"7",0.04826,0.81904,2,-0.06529072,-0.2
"8",0.05066,0.81254,2,-0.04896804,-0.15
"9",0.04802,0.81024,2,-0.03264536,-0.1
"10",0.05038,0.8007,2,-0.01632268,-0.05
"11",0.0506,0.7965,2,0,0
"12",0.04922,0.79064,2,0.01632268,0.05
"13",0.05202,0.78468,2,0.03264536,0.1
"14",0.04992,0.77466,2,0.04896804,0.15
"15",0.0512,0.7674,2,0.06529072,0.2
"16",0.05244,0.764,2,0.0816134,0.25
"17",0.05222,0.75614,2,0.09793608,0.3
"18",0.05308,0.7517,2,0.11425876,0.35
"19",0.05408,0.7447,2,0.13058144,0.4
"20",0.05526,0.73554,2,0.14690412,0.45
"21",0.05606,0.72856,2,0.1632268,0.5
