"","typeI","typeII","rho0","percent"
"1",0.0532,0.8003,0.66358431,0.9
"2",0.05196,0.8005,0.670957469,0.91
"3",0.0523,0.7992,0.678330628,0.92
"4",0.05204,0.79714,0.685703787,0.93
"5",0.05126,0.79904,0.693076946,0.94
"6",0.05182,0.79378,0.700450105,0.95
"7",0.04994,0.79992,0.707823264,0.96
"8",0.05012,0.79722,0.715196423,0.97
"9",0.05024,0.79716,0.722569582,0.98
"10",0.05002,0.80054,0.729942741,0.99
"11",0.05074,0.79592,0.7373159,1
"12",0.04864,0.79492,0.744689059,1.01
"13",0.04844,0.798,0.752062218,1.02
"14",0.04934,0.79312,0.759435377,1.03
"15",0.05014,0.79394,0.766808536,1.04
"16",0.05028,0.7931,0.774181695,1.05
"17",0.0473,0.78562,0.781554854,1.06
"18",0.04848,0.78854,0.788928013,1.07
"19",0.0455,0.78874,0.796301172,1.08
"20",0.0483,0.78568,0.803674331,1.09
"21",0.04758,0.78448,0.81104749,1.1
